epoch,iter,train_loss,val_loss
1,250,19.380130294799805,7.762727985088642
2,500,11.613517078756168,4.639037216186524
2,750,8.329378200531005,3.652551532451923
3,1000,6.3402747253624145,3.2387598994328424
3,1250,5.095702386856079,2.9397498978834884
4,1500,4.191470346268256,2.849679883516752
4,1750,3.7554896192550657,3.028741332420936
5,2000,3.2403906315479354,3.038233644925631
6,2250,3.030934233935712,3.24936350778433
6,2500,2.837563216686249,3.380887121934157
7,2750,2.5681410266537847,3.635423035841722
7,3000,3.725556984901428,2.849679883516752
8,3250,3.6544367583690174,2.849679883516752
8,3500,3.6979283447265625,2.849679883516752
9,3750,3.697686117938951,2.849679883516752
10,4000,3.642221547927007,2.849679883516752
10,4250,3.647423568725586,2.849679883516752
11,4500,3.7391824367928383,2.849679883516752
11,4750,3.6870810832977297,2.849679883516752
12,5000,3.6758967418329416,2.849679883516752
12,5250,3.6856817808151243,2.849679883516752
13,5500,3.643297081132056,2.849679883516752
14,5750,3.7416992712480233,2.849679883516752
14,6000,3.704256923675537,2.849679883516752
15,6250,3.6821339517872818,2.849679883516752
15,6500,3.6681007328033446,2.849679883516752
16,6750,3.750589164314857,2.849679883516752
16,7000,3.6181464376449584,2.849679883516752
17,7250,3.701094368827607,2.849679883516752
18,7500,3.7012790282378427,2.849679883516752
