epoch,iter,train_loss,val_loss
1,250,14.869944110870362,3.5469022921048676
2,500,9.005858386128144,2.2274095752422625
2,750,6.236830708503724,1.7923964151235727
3,1000,4.722107528253176,1.6629306957538312
3,1250,3.783460461616516,1.649187498826247
4,1500,3.0980576193408735,1.587415637089656
4,1750,2.767860475063324,1.6145884205744816
5,2000,2.4197518224488297,1.723386717576247
6,2250,2.2428076033089317,1.8692421323336088
6,2500,2.0768371019363405,1.8949814852201021
7,2750,1.993154181178902,1.9799285090519831
7,3000,2.7789176254272463,1.587415637089656
8,3250,2.8306900529349592,1.587415637089656
8,3500,2.851989035606384,1.587415637089656
9,3750,2.8230816647718,1.587415637089656
10,4000,2.827500727393519,1.587415637089656
10,4250,2.8285293598175048,1.587415637089656
11,4500,2.820296027074838,1.587415637089656
11,4750,2.8028049693107606,1.587415637089656
12,5000,2.8506214514581667,1.587415637089656
12,5250,2.783527509689331,1.587415637089656
13,5500,2.7822785866091997,1.587415637089656
14,5750,2.8547890657300603,1.587415637089656
14,6000,2.8243679575920106,1.587415637089656
15,6250,2.862251037861101,1.587415637089656
15,6500,2.824857087135315,1.587415637089656
16,6750,2.8492254292757626,1.587415637089656
16,7000,2.8179192419052126,1.587415637089656
17,7250,2.815218245984615,1.587415637089656
18,7500,2.876439326369955,1.587415637089656
